id,state,abbr,state2,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,Unemployed_2000,Unemployed_2001,Unemployed_2002,Unemployed_2003,Unemployed_2004,Unemployed_2005,Unemployed_2006,Unemployed_2007,Unemployed_2008,Unemployed_2009,Unemployed_2010,Unemployed_2011,Unemployed_2012,Unemployed_2013,Unemployed_2014,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019
24,Minnesota,MN,Minnesota,11.5,0.4,37.8,0.1,61481,471,7.3,6.7,7.9,27.6,26.8,28.5,16.3,15.6,17,177663,214489,257046,280757,269631,234065,231436,265376,317497,457104,435209,382033,330438,293668,248033,221706,234119,207841,180568,200988
25,Mississippi,MS,Mississippi,21.5,0.6,36.7,0.2,39680,773,18.8,17,20.7,35.5,33.4,37.6,23,21,24.9,142054,143270,170090,164214,161832,197143,168535,158912,171563,240581,271456,268126,236688,217452,187665,161502,148155,130104,122911,138452
26,Missouri,MO,Missouri,15.5,0.4,38.5,0.1,48363,567,12.9,11.6,14.3,30.2,28.6,31.9,20.6,19.2,22.1,212107,277254,322885,339672,353554,324664,293872,309862,372031,565712,585900,517129,420071,405544,373886,309452,280522,229151,192881,203120
27,Montana,MT,Montana,15.4,0.8,39.6,0.3,46328,1217,12.9,11.6,14.1,26.4,24.9,27.9,19.9,18.5,21.4,46318,42312,41128,44448,45712,42299,34477,35759,51630,68609,73056,69646,60629,55419,47818,43227,43339,41405,38533,37163
28,Nebraska,NE,Nebraska,12.4,0.5,36.2,0.2,52686,688,12.4,11.5,13.2,30.2,29.2,31.2,17.3,16.5,18.2,53212,59526,69651,75897,74940,74177,60357,58545,65996,91872,92076,88400,81110,76718,66402,60571,61936,59088,59864,63118
29,Nevada,NV,Nevada,15.2,0.7,37.4,0.2,51450,683,17.1,15,19.3,27.7,25.3,30.1,17,15,19,89122,115636,127095,116502,101382,100246,104062,119648,182774,305082,367609,357703,307344,266071,219922,189865,162388,146253,133585,119954
30,New Hampshire,NH,New Hampshire,9.2,0.6,42.5,0.3,66532,1297,11.4,10.1,12.7,27.4,25.8,29.1,17.5,16,19,36570,47956,62794,60985,54070,51648,50157,51863,57358,92851,86244,79540,81453,75501,63538,50237,42867,40954,39150,39366
31,New Jersey,NJ,New Jersey,11.1,0.3,39.4,0.2,71919,438,12.5,11.5,13.4,26.9,25.7,28.1,15.1,14.1,16.1,316706,365203,502128,506935,420681,393366,418789,379966,480934,824150,867752,853616,856096,749463,606995,519339,445141,411879,363449,319585
32,New Mexico,NM,New Mexico,21.3,0.9,37.2,0.2,44803,849,15.4,14.1,16.8,28.4,26.9,30,19.2,17.7,20.6,83306,84617,96819,104130,99306,93818,77295,70060,84273,141721,151868,140101,132354,128191,124391,121552,123508,109636,91828,92864
33,New York,NY,New York,15.9,0.3,38.2,0.1,58878,393,12.3,11.1,13.4,27,25.6,28.4,14.4,13.3,15.5,830244,883704,1140334,1180984,1086671,948016,861246,867701,1051390,1606001,1651276,1578616,1637700,1490762,1207445,1008367,927347,896202,788341,753659
34,North Carolina,NC,North Carolina,17.2,0.3,38.3,0.1,46556,381,16.1,15.1,17.2,29.7,28.4,31,19.1,17.9,20.3,304083,463083,556289,542071,466640,452784,421747,425109,556692,967376,1002133,951065,868767,749655,592942,544430,493163,440987,396842,393134
35,North Dakota,ND,North Dakota,11.5,0.9,35.1,0.2,59029,1681,8.8,7.6,10,32.2,30.5,33.9,19.9,18.4,21.5,20326,19993,25352,25654,24127,24073,23279,22936,23384,30424,28580,26965,24390,23602,22045,23100,25559,21856,20768,19154
36,Ohio,OH,Ohio,15.8,0.3,39.4,0.1,49308,363,10.2,9.2,11.3,32.6,31.2,34.1,21,19.7,22.3,461173,499408,672680,733029,736077,697933,642105,665149,768653,1219339,1199675,1020466,843180,852249,662641,559653,577187,574376,518129,477494
37,Oklahoma,OK,Oklahoma,16.6,0.4,36.2,0.2,47529,454,13.9,12.9,15,33,31.6,34.3,21.1,19.9,22.3,100861,122732,156929,184103,164375,152368,137397,141535,130776,224822,240297,208499,189211,190427,161267,161447,175895,155029,126091,121313
38,Oregon,OR,Oregon,16.6,0.5,39.3,0.2,51075,490,11,9.7,12.4,27.9,26.2,29.6,17,15.5,18.4,185629,234026,276175,299279,268817,227835,200681,197990,255542,445913,421927,379138,345300,300804,262688,221625,197115,171953,169939,157541
39,Pennsylvania,PA,Pennsylvania,13.6,0.3,40.7,0.1,53234,420,10.1,9.2,11.1,30.2,28.9,31.4,19.9,18.8,21.1,504686,593864,700071,697298,673566,621667,575747,557871,683786,1029823,1080128,1013521,1011254,949204,748864,678969,693392,626130,545859,568031
40,Rhode Island,RI,Rhode Island,14.3,0.9,39.8,0.3,54891,1488,8,6.8,9.2,27,25.4,28.6,16.3,14.8,17.7,44496,49639,54847,59832,57591,57081,56490,59544,88774,124659,126976,123617,116107,103113,85651,66435,57368,48753,44153,39572
41,South Carolina,SC,South Carolina,18,0.5,38.8,0.1,45238,507,17.1,16,18.2,32.1,30.9,33.3,21.5,20.4,22.7,149959,203493,226622,276424,278342,278732,271526,240414,291650,484153,481247,459251,402520,334656,287505,271676,230424,197844,161765,135414
42,South Dakota,SD,South Dakota,14.2,0.7,36.6,0.3,50979,1027,9.9,8.4,11.4,29.8,27.9,31.8,18.6,16.9,20.2,20079,25494,26562,29895,31802,32798,27055,24980,27383,44038,43972,41761,37885,33593,30668,27890,26986,29273,28187,30568
43,Tennessee,TN,Tennessee,18.3,0.4,38.6,0.1,44361,561,14.2,12.6,15.9,31.2,29.3,33.1,24.2,22.3,26.1,219582,260713,301021,328099,307258,322828,315149,286636,402081,639139,597462,561292,485456,477908,398274,344314,294361,239928,228753,226703
44,Texas,TX,Texas,17.2,0.2,34.3,0.1,53035,377,24.9,23.7,26.1,31.9,30.6,33.3,14.5,13.6,15.5,889358,1043392,1365893,1458717,1307767,1201977,1107015,980457,1120547,1803797,1994688,1938815,1703575,1609905,1330569,1163254,1230719,1170251,1063153,987049
45,Utah,UT,Utah,11.7,0.6,30.5,0.1,60922,658,13.9,13.2,14.6,25.7,24.9,26.6,9.7,9,10.3,76477,102942,137370,135367,122731,103661,78245,70145,98224,199685,212568,182216,148327,128877,108858,105899,103814,101047,95358,83816
46,Vermont,VT,Vermont,12.2,0.8,42.8,0.3,54166,1724,6.7,5.9,7.5,24.8,23.5,26.1,16.4,15.2,17.6,18535,22343,27407,29700,25550,24419,26274,28364,33233,47474,43828,39290,35143,30964,27349,24534,22236,20325,17609,16313
47,Virginia,VA,Virginia,11.8,0.3,37.7,0.1,64902,624,13.1,12,14.1,28.5,27.2,29.7,19.5,18.4,20.7,165896,237529,313802,308882,289957,278904,246018,245508,326038,551314,594549,554958,511719,484195,443427,375761,347330,318862,263014,246233
48,Washington,WA,Washington,13.2,0.4,37.5,0.1,61366,485,10.7,9.7,11.8,27.3,26,28.5,15.3,14.3,16.4,315694,382987,456152,463084,400603,362609,334622,319716,374536,647103,701565,642478,564026,488060,427895,400442,382930,349967,338866,332886
9,Washington D.C.,DC,Washington D.C.,17.7,1.2,33.8,0.2,71648,1996,8.3,6.3,10.3,21.7,19.5,23.9,16.4,14.2,18.6,34766,39408,39206,41936,48688,40264,36594,35622,42704,62344,65114,71214,66010,63550,58874,53594,48248,48610,46072,44974
49,West Virginia,WV,West Virginia,18.3,0.7,41.9,0.2,41059,651,10.1,9.1,11.2,35.7,34.2,37.2,26.7,25.2,28.1,88710,80932,94904,95127,83544,80846,79537,74341,70690,125725,140432,130097,121067,108244,104700,105300,95503,81019,81742,78232
50,Wisconsin,WI,Wisconsin,13.2,0.4,39.2,0.2,52622,433,8.5,7.4,9.7,31.2,29.6,32.8,17.4,16,18.7,220076,282507,336295,359380,315512,295900,298484,310832,311693,550999,553793,495324,449464,429097,345775,294312,266000,217688,198461,218390
51,Wyoming,WY,Wyoming,11.2,0.9,36.6,0.4,57055,1983,15.1,13.3,16.9,29.5,27.4,31.5,19.5,17.6,21.4,10395,10271,10896,11651,10474,9898,8911,8073,8971,18968,19554,17796,16337,14479,12668,13125,16060,12189,11352,10528
